0.8,0.0
0.8337349398,0.0161637931
0.8748493976,0.03663793103
0.9149096386,0.05334051724
0.9539156627,0.06842672414
0.9913403614,0.08674568966
1.027710843,0.1099137931
1.061972892,0.1395474138
1.087801205,0.1691810345
1.112048193,0.192887931
1.144728916,0.2262931034
1.168975904,0.2575431034
1.196385542,0.3054956897
1.211144578,0.3415948276
1.228012048,0.3890086207
1.252259036,0.4547413793
1.268072289,0.5107758621
1.285993976,0.5829741379
1.302861446,0.6433189655
1.323945783,0.7090517241
1.343975904,0.7586206897
1.368222892,0.8081896552
1.399849398,0.8631465517
1.433584337,0.9127155172
1.464156627,0.9461206897
1.501054217,0.9655172414
1.551656627,0.9849137931
1.596987952,0.9956896552
1.6,1
